id,name
"5f126142-8b17-4112-8956-de9c62faeef6","Azizi Lina"
"ebc9d6b1-8856-4a0e-84a1-146c972ca739","Azizi Milan"
"19f4ec8f-fe72-4c93-9bf6-c68d87389178","Azizi Mina"
"38ffd916-0288-48ee-8081-def00d03ce4f","Azizi Neila"
"5f05995f-bd0c-4fab-ac07-a3b3cdab7417","Azizi Noura"
"196be9cf-d7ec-45f6-b078-db0b7efefbe3","Azizi Park Avenue 1"
"0b1b5a7c-5e48-48df-9e7c-721202773d1a","Azizi Pearl"
"7449dfa4-9ac3-4bfa-9bc1-ccc27ef928b9","Azizi Plaza"
"d1e341c0-67c2-4036-8c06-5fa460920542","Azizi Raffi"
"95f3fda2-04ac-40fa-940f-ea8bd0045462","Azizi Rose"
"9bc1ec67-6e84-4034-aca0-700a6932de97","Azizi Ruby"
"7c6d26af-241a-4bd9-9e77-8e6ffeb72012","Azizi Sakandar"
"0c55c089-5edd-4572-97c1-61fe185e184b","Azizi Samia"
"1af7d090-7b0b-47b8-8530-fa621af2af6f","Azizi Shaista"
"be3c8ac0-3ba4-4ff9-8cb2-4454aa2aeb5a","Azizi Star"
"a3061308-5d0c-4b52-af63-70faccc8d065","Azizi Tulip"
"b7cf847b-515e-454e-bb7f-f0951d2ca560","Azizi Venice "
"8e1b55d3-ccff-4634-a2be-15697321fb45","Azizi Vista"
"3b365f0e-15c7-4b8f-b589-93923f470303","Azizi Wares"
"90b123b6-b6bb-43cd-8532-2269bd361965","Azizi Wasel"
"4f7be09f-f471-4106-bbc4-b10e9c85d51f","Azizi Zain"
"7609e751-f586-4a81-8ca3-0e6c3f4b4b85","Azra Residence"
"9974fd87-18fe-4576-8d1a-ade5f3cee1c6","Azura Residences by IGO"
"22420247-f200-48c5-8fd0-b0649e8ce23c","Azure by Lapis"
"c652787d-a203-438e-a3c2-d7dca951cb0a","Bab Al Bahr Residences"
"113b205f-c204-4f58-b166-82a034bfb276","Bab Al Qasr Canal View Residence 22"
"cb244039-77df-4428-9b91-9c358a411120","Bab Al Qasr Garden Residence 66"
"de59e06f-236c-46c3-ac5d-d9a0a4d2f86b","Baccarat Residences"
"34a3fcd9-00b5-4ac1-9d53-12955cffc3c6","Bali Residences"
"8a93b632-0071-4dd0-a7ba-ecf49b8efd8d","Barajeel Towers"
"c2442619-0603-41a5-a457-9c58cd5322fb","Barari Gate by ADE"
"fe5e777c-0e01-4e21-9b8f-014fedad54f0","Barari Palace"
"92ad38a2-b797-4130-b49b-2112254b3d21","Barari Views"
"cbd21d9a-1d64-41ac-bcc8-52ba437d4262","Bayfront Marina Residences"
"283df715-4bfd-43a8-83f4-c5ab55d0a77e","Bay Grove Residences Phase 1, 2 and 3"
"06f56fab-5273-4ef4-9786-a266e7165f71","Bay Grove Residences Phase 4"
"92675337-45cd-4ff6-ab86-6b15b858f15e","Bayline "
"774c3e21-a872-4f10-b3da-bb9753c733d2","Bayn by Ora"
"b0f672c1-f273-4db9-9f9c-cbc5b8a7fb89","Bay Residences South"
"346b4ab6-2111-471b-95c3-90eb568a8cc2","Bayshore at Creek Beach"
"54f2e25b-1b9b-45d1-b9ec-b787e4654505","Bayside Marina Residences"
"8489ca0c-455e-46d6-ac26-7c78b460efdc","Baystar by Vida"
"558def25-b0e6-412e-947f-efb142525370","Bayview Boulevard"
"e6902ea9-2b9c-4ea8-89d5-49170f8ec59b","Bayview by Address Resorts"
"0658fe93-655a-475a-ba14-1580af55767d","Bayviews"
"187528e5-4ffc-43f1-8fea-bf8c6896e354","Bay Villas"
"5c6614f4-613f-4c6d-8b6f-bd88739ae8d6","Bayz 101"
"fb11c2b6-b760-422b-b86d-d15109713e74","Bayz 102"
"c5c92f11-3fee-4bf9-bb66-5576024297a5","Beachfront Gates"
"98ec7fb5-2e62-4ea3-a601-761158b50111","Beach House at Bay Residences"
"0a44959d-594c-4377-82ae-12812ead8fc6","Beach Oasis 1 and 2"
"d1c077be-6e8c-4988-bf68-c30acbfb3f35","Beach Residences at Siniya Island"
"b117ddc9-094b-476d-8b79-745cefd15c4b","Beach Walk"
"52e97241-ef24-42c6-8346-101e44e72cea","Beach Walk 3"
"a24ab491-8568-4999-9f2a-8e0753518227","Beach Walk 4"
"712f1d85-2b60-41ac-878b-08c7734db9fa","Beach Walk Grand"
"50d72016-0735-44d0-bd15-b4467fc4cba6","Beach Walk Grand 2"
"59b50ec0-b78b-4f3b-ad0b-d8b5fa778516","Beach Walk Residence II"
"731b38d6-8c1e-4ffc-8733-a2f02fef0d9d","Belgravia Gardens"
"1fd834d5-e0cd-46fc-a58e-97100cac5364","Belgrove Residences"
"2fff9ba3-e333-4a20-bfb5-c528292083a5","Bellagio by Sunrise Capital"
"c9303e6d-55df-4bb3-bb2e-0d5534ecf115","Belle Rêve"
